airflow-webserver  | 
airflow-webserver  | [2026-03-10T17:27:30.735+0000] {override.py:1963} INFO - Added Permission menu access on Variables to role Admin
airflow-webserver  | [2026-03-10T17:27:30.740+0000] {override.py:1912} INFO - Created Permission View: menu access on Admin
airflow-webserver  | [2026-03-10T17:27:30.741+0000] {override.py:1963} INFO - Added Permission menu access on Admin to role Admin
airflow-webserver  | [2026-03-10T17:27:30.749+0000] {override.py:1912} INFO - Created Permission View: can create on Task Instances
airflow-webserver  | [2026-03-10T17:27:30.750+0000] {override.py:1963} INFO - Added Permission can create on Task Instances to role Admin
airflow-webserver  | [2026-03-10T17:27:30.752+0000] {override.py:1912} INFO - Created Permission View: can read on Task Instances
airflow-webserver  | [2026-03-10T17:27:30.753+0000] {override.py:1963} INFO - Added Permission can read on Task Instances to role Admin
airflow-webserver  | [2026-03-10T17:27:30.754+0000] {override.py:1912} INFO - Created Permission View: can edit on Task Instances
airflow-webserver  | [2026-03-10T17:27:30.756+0000] {override.py:1963} INFO - Added Permission can edit on Task Instances to role Admin
airflow-webserver  | [2026-03-10T17:27:30.757+0000] {override.py:1912} INFO - Created Permission View: can delete on Task Instances
airflow-webserver  | [2026-03-10T17:27:30.758+0000] {override.py:1963} INFO - Added Permission can delete on Task Instances to role Admin
airflow-webserver  | [2026-03-10T17:27:30.759+0000] {override.py:1912} INFO - Created Permission View: menu access on Task Instances
airflow-webserver  | [2026-03-10T17:27:30.761+0000] {override.py:1963} INFO - Added Permission menu access on Task Instances to role Admin
airflow-webserver  | [2026-03-10T17:27:30.771+0000] {override.py:1912} INFO - Created Permission View: can read on Task Reschedules
airflow-webserver  | [2026-03-10T17:27:30.773+0000] {override.py:1963} INFO - Added Permission can read on Task Reschedules to role Admin
airflow-webserver  | [2026-03-10T17:27:30.774+0000] {override.py:1912} INFO - Created Permission View: menu access on Task Reschedules
airflow-webserver  | [2026-03-10T17:27:30.775+0000] {override.py:1963} INFO - Added Permission menu access on Task Reschedules to role Admin
airflow-webserver  | [2026-03-10T17:27:30.785+0000] {override.py:1912} INFO - Created Permission View: can read on Triggers
airflow-webserver  | [2026-03-10T17:27:30.787+0000] {override.py:1963} INFO - Added Permission can read on Triggers to role Admin
airflow-webserver  | [2026-03-10T17:27:30.788+0000] {override.py:1912} INFO - Created Permission View: menu access on Triggers
airflow-webserver  | [2026-03-10T17:27:30.790+0000] {override.py:1963} INFO - Added Permission menu access on Triggers to role Admin
airflow-webserver  | [2026-03-10T17:27:30.795+0000] {override.py:1912} INFO - Created Permission View: can read on Configurations
airflow-webserver  | [2026-03-10T17:27:30.796+0000] {override.py:1963} INFO - Added Permission can read on Configurations to role Admin
airflow-webserver  | [2026-03-10T17:27:30.798+0000] {override.py:1912} INFO - Created Permission View: menu access on Configurations
airflow-webserver  | [2026-03-10T17:27:30.799+0000] {override.py:1963} INFO - Added Permission menu access on Configurations to role Admin
airflow-webserver  | [2026-03-10T17:27:30.810+0000] {override.py:1912} INFO - Created Permission View: can create on Connections
airflow-webserver  | [2026-03-10T17:27:30.812+0000] {override.py:1963} INFO - Added Permission can create on Connections to role Admin
airflow-webserver  | [2026-03-10T17:27:30.814+0000] {override.py:1912} INFO - Created Permission View: can read on Connections
airflow-webserver  | [2026-03-10T17:27:30.816+0000] {override.py:1963} INFO - Added Permission can read on Connections to role Admin
airflow-webserver  | [2026-03-10T17:27:30.817+0000] {override.py:1912} INFO - Created Permission View: can edit on Connections
airflow-webserver  | [2026-03-10T17:27:30.818+0000] {override.py:1963} INFO - Added Permission can edit on Connections to role Admin
airflow-webserver  | [2026-03-10T17:27:30.820+0000] {override.py:1912} INFO - Created Permission View: can delete on Connections
airflow-webserver  | [2026-03-10T17:27:30.821+0000] {override.py:1963} INFO - Added Permission can delete on Connections to role Admin
airflow-webserver  | [2026-03-10T17:27:30.823+0000] {override.py:1912} INFO - Created Permission View: menu access on Connections
airflow-webserver  | [2026-03-10T17:27:30.824+0000] {override.py:1963} INFO - Added Permission menu access on Connections to role Admin
airflow-webserver  | [2026-03-10T17:27:30.835+0000] {override.py:1912} INFO - Created Permission View: can read on SLA Misses
airflow-webserver  | [2026-03-10T17:27:30.837+0000] {override.py:1963} INFO - Added Permission can read on SLA Misses to role Admin
airflow-webserver  | [2026-03-10T17:27:30.839+0000] {override.py:1912} INFO - Created Permission View: menu access on SLA Misses
airflow-webserver  | [2026-03-10T17:27:30.841+0000] {override.py:1963} INFO - Added Permission menu access on SLA Misses to role Admin
airflow-webserver  | [2026-03-10T17:27:30.843+0000] {override.py:1912} INFO - Created Permission View: can delete on SLA Misses
airflow-webserver  | [2026-03-10T17:27:30.845+0000] {override.py:1963} INFO - Added Permission can delete on SLA Misses to role Admin
airflow-webserver  | [2026-03-10T17:27:30.847+0000] {override.py:1912} INFO - Created Permission View: can edit on SLA Misses
airflow-webserver  | [2026-03-10T17:27:30.849+0000] {override.py:1963} INFO - Added Permission can edit on SLA Misses to role Admin
airflow-webserver  | [2026-03-10T17:27:30.860+0000] {override.py:1912} INFO - Created Permission View: can read on Plugins
airflow-webserver  | [2026-03-10T17:27:30.862+0000] {override.py:1963} INFO - Added Permission can read on Plugins to role Admin
airflow-webserver  | [2026-03-10T17:27:30.866+0000] {override.py:1912} INFO - Created Permission View: menu access on Plugins
airflow-webserver  | [2026-03-10T17:27:30.868+0000] {override.py:1963} INFO - Added Permission menu access on Plugins to role Admin
airflow-webserver  | [2026-03-10T17:27:30.878+0000] {override.py:1912} INFO - Created Permission View: can read on Providers
airflow-webserver  | [2026-03-10T17:27:30.881+0000] {override.py:1963} INFO - Added Permission can read on Providers to role Admin
airflow-webserver  | [2026-03-10T17:27:30.884+0000] {override.py:1912} INFO - Created Permission View: menu access on Providers
airflow-webserver  | [2026-03-10T17:27:30.886+0000] {override.py:1963} INFO - Added Permission menu access on Providers to role Admin
airflow-webserver  | [2026-03-10T17:27:30.898+0000] {override.py:1912} INFO - Created Permission View: can create on Pools
airflow-webserver  | [2026-03-10T17:27:30.899+0000] {override.py:1963} INFO - Added Permission can create on Pools to role Admin
airflow-webserver  | [2026-03-10T17:27:30.901+0000] {override.py:1912} INFO - Created Permission View: can read on Pools
airflow-webserver  | [2026-03-10T17:27:30.903+0000] {override.py:1963} INFO - Added Permission can read on Pools to role Admin
airflow-webserver  | [2026-03-10T17:27:30.904+0000] {override.py:1912} INFO - Created Permission View: can edit on Pools
airflow-webserver  | [2026-03-10T17:27:30.906+0000] {override.py:1963} INFO - Added Permission can edit on Pools to role Admin
airflow-webserver  | [2026-03-10T17:27:30.907+0000] {override.py:1912} INFO - Created Permission View: can delete on Pools
airflow-webserver  | [2026-03-10T17:27:30.908+0000] {override.py:1963} INFO - Added Permission can delete on Pools to role Admin
airflow-webserver  | [2026-03-10T17:27:30.910+0000] {override.py:1912} INFO - Created Permission View: menu access on Pools
airflow-webserver  | [2026-03-10T17:27:30.911+0000] {override.py:1963} INFO - Added Permission menu access on Pools to role Admin
airflow-webserver  | [2026-03-10T17:27:30.922+0000] {override.py:1912} INFO - Created Permission View: can read on XComs
airflow-webserver  | [2026-03-10T17:27:30.923+0000] {override.py:1963} INFO - Added Permission can read on XComs to role Admin
airflow-webserver  | [2026-03-10T17:27:30.925+0000] {override.py:1912} INFO - Created Permission View: can delete on XComs
airflow-webserver  | [2026-03-10T17:27:30.927+0000] {override.py:1963} INFO - Added Permission can delete on XComs to role Admin
airflow-webserver  | [2026-03-10T17:27:30.929+0000] {override.py:1912} INFO - Created Permission View: menu access on XComs
airflow-webserver  | [2026-03-10T17:27:30.930+0000] {override.py:1963} INFO - Added Permission menu access on XComs to role Admin
airflow-webserver  | [2026-03-10T17:27:30.939+0000] {override.py:1912} INFO - Created Permission View: menu access on DAG Dependencies
airflow-webserver  | [2026-03-10T17:27:30.941+0000] {override.py:1963} INFO - Added Permission menu access on DAG Dependencies to role Admin
airflow-webserver  | [2026-03-10T17:27:30.953+0000] {override.py:1912} INFO - Created Permission View: menu access on DAGs
airflow-webserver  | [2026-03-10T17:27:30.956+0000] {override.py:1963} INFO - Added Permission menu access on DAGs to role Admin
airflow-webserver  | [2026-03-10T17:27:30.959+0000] {override.py:1912} INFO - Created Permission View: menu access on Cluster Activity
airflow-webserver  | [2026-03-10T17:27:30.962+0000] {override.py:1963} INFO - Added Permission menu access on Cluster Activity to role Admin
airflow-webserver  | [2026-03-10T17:27:30.965+0000] {override.py:1912} INFO - Created Permission View: menu access on Datasets
airflow-webserver  | [2026-03-10T17:27:30.967+0000] {override.py:1963} INFO - Added Permission menu access on Datasets to role Admin
airflow-webserver  | [2026-03-10T17:27:30.971+0000] {override.py:1912} INFO - Created Permission View: menu access on Documentation
airflow-webserver  | [2026-03-10T17:27:30.973+0000] {override.py:1963} INFO - Added Permission menu access on Documentation to role Admin
airflow-webserver  | [2026-03-10T17:27:30.976+0000] {override.py:1912} INFO - Created Permission View: menu access on Docs
airflow-webserver  | [2026-03-10T17:27:30.978+0000] {override.py:1963} INFO - Added Permission menu access on Docs to role Admin
airflow-webserver  | /home/airflow/.local/lib/python3.12/site-packages/airflow/api_connexion/schemas/task_schema.py:52 ChangedInMarshmallow4Warning: `Number` field should not be instantiated. Use `Integer`, `Float`, or `Decimal` instead.
airflow-webserver  | /home/airflow/.local/lib/python3.12/site-packages/airflow/api_connexion/schemas/task_schema.py:55 ChangedInMarshmallow4Warning: `Number` field should not be instantiated. Use `Integer`, `Float`, or `Decimal` instead.
airflow-webserver  | /home/airflow/.local/lib/python3.12/site-packages/airflow/api_connexion/schemas/task_schema.py:59 ChangedInMarshmallow4Warning: `Number` field should not be instantiated. Use `Integer`, `Float`, or `Decimal` instead.
airflow-webserver  | [2026-03-10T17:27:31.475+0000] {override.py:1912} INFO - Created Permission View: can delete on DAGs
airflow-webserver  | [2026-03-10T17:27:31.477+0000] {override.py:1912} INFO - Created Permission View: can read on DAGs
airflow-webserver  | [2026-03-10T17:27:31.479+0000] {override.py:1912} INFO - Created Permission View: can edit on DAGs
airflow-webserver  | [2026-03-10T17:27:31.483+0000] {override.py:1508} INFO - Inserted Role: Public
airflow-webserver  | [2026-03-10T17:27:31.484+0000] {override.py:1508} INFO - Inserted Role: Viewer
airflow-webserver  | [2026-03-10T17:27:31.486+0000] {override.py:1963} INFO - Added Permission can read on DAGs to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.487+0000] {override.py:1912} INFO - Created Permission View: can read on DAG Dependencies
airflow-webserver  | [2026-03-10T17:27:31.488+0000] {override.py:1963} INFO - Added Permission can read on DAG Dependencies to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.489+0000] {override.py:1912} INFO - Created Permission View: can read on DAG Code
airflow-webserver  | [2026-03-10T17:27:31.490+0000] {override.py:1963} INFO - Added Permission can read on DAG Code to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.490+0000] {override.py:1963} INFO - Added Permission can read on DAG Runs to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.491+0000] {override.py:1912} INFO - Created Permission View: can read on Datasets
airflow-webserver  | [2026-03-10T17:27:31.492+0000] {override.py:1963} INFO - Added Permission can read on Datasets to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.493+0000] {override.py:1912} INFO - Created Permission View: can read on Cluster Activity
airflow-webserver  | [2026-03-10T17:27:31.494+0000] {override.py:1963} INFO - Added Permission can read on Cluster Activity to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.495+0000] {override.py:1963} INFO - Added Permission can read on Pools to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.496+0000] {override.py:1912} INFO - Created Permission View: can read on ImportError
airflow-webserver  | [2026-03-10T17:27:31.497+0000] {override.py:1963} INFO - Added Permission can read on ImportError to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.499+0000] {override.py:1912} INFO - Created Permission View: can read on DAG Warnings
airflow-webserver  | [2026-03-10T17:27:31.499+0000] {override.py:1963} INFO - Added Permission can read on DAG Warnings to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.500+0000] {override.py:1963} INFO - Added Permission can read on Jobs to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.501+0000] {override.py:1963} INFO - Added Permission can read on My Password to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.501+0000] {override.py:1963} INFO - Added Permission can edit on My Password to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.502+0000] {override.py:1963} INFO - Added Permission can read on My Profile to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.502+0000] {override.py:1963} INFO - Added Permission can edit on My Profile to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.504+0000] {override.py:1963} INFO - Added Permission can read on SLA Misses to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.504+0000] {override.py:1963} INFO - Added Permission can read on Task Instances to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.506+0000] {override.py:1912} INFO - Created Permission View: can read on Task Logs
airflow-webserver  | [2026-03-10T17:27:31.506+0000] {override.py:1963} INFO - Added Permission can read on Task Logs to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.507+0000] {override.py:1963} INFO - Added Permission can read on XComs to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.508+0000] {override.py:1912} INFO - Created Permission View: can read on Website
airflow-webserver  | [2026-03-10T17:27:31.509+0000] {override.py:1963} INFO - Added Permission can read on Website to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.510+0000] {override.py:1963} INFO - Added Permission menu access on Browse to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.510+0000] {override.py:1963} INFO - Added Permission menu access on DAGs to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.511+0000] {override.py:1963} INFO - Added Permission menu access on DAG Dependencies to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.512+0000] {override.py:1963} INFO - Added Permission menu access on DAG Runs to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.512+0000] {override.py:1963} INFO - Added Permission menu access on Datasets to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.513+0000] {override.py:1963} INFO - Added Permission menu access on Cluster Activity to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.513+0000] {override.py:1963} INFO - Added Permission menu access on Documentation to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.514+0000] {override.py:1963} INFO - Added Permission menu access on Docs to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.515+0000] {override.py:1963} INFO - Added Permission menu access on Jobs to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.515+0000] {override.py:1963} INFO - Added Permission menu access on SLA Misses to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.516+0000] {override.py:1963} INFO - Added Permission menu access on Task Instances to role Viewer
airflow-webserver  | [2026-03-10T17:27:31.517+0000] {override.py:1508} INFO - Inserted Role: User
airflow-webserver  | [2026-03-10T17:27:31.517+0000] {override.py:1963} INFO - Added Permission can read on DAGs to role User
airflow-webserver  | [2026-03-10T17:27:31.519+0000] {override.py:1963} INFO - Added Permission can read on DAG Dependencies to role User
airflow-webserver  | [2026-03-10T17:27:31.520+0000] {override.py:1963} INFO - Added Permission can read on DAG Code to role User
airflow-webserver  | [2026-03-10T17:27:31.520+0000] {override.py:1963} INFO - Added Permission can read on DAG Runs to role User
airflow-webserver  | [2026-03-10T17:27:31.521+0000] {override.py:1963} INFO - Added Permission can read on Datasets to role User
airflow-webserver  | [2026-03-10T17:27:31.522+0000] {override.py:1963} INFO - Added Permission can read on Cluster Activity to role User
airflow-webserver  | [2026-03-10T17:27:31.523+0000] {override.py:1963} INFO - Added Permission can read on Pools to role User
airflow-webserver  | [2026-03-10T17:27:31.524+0000] {override.py:1963} INFO - Added Permission can read on ImportError to role User
airflow-webserver  | [2026-03-10T17:27:31.525+0000] {override.py:1963} INFO - Added Permission can read on DAG Warnings to role User
airflow-webserver  | [2026-03-10T17:27:31.526+0000] {override.py:1963} INFO - Added Permission can read on Jobs to role User
airflow-webserver  | [2026-03-10T17:27:31.526+0000] {override.py:1963} INFO - Added Permission can read on My Password to role User
airflow-webserver  | [2026-03-10T17:27:31.527+0000] {override.py:1963} INFO - Added Permission can edit on My Password to role User
airflow-webserver  | [2026-03-10T17:27:31.528+0000] {override.py:1963} INFO - Added Permission can read on My Profile to role User
airflow-webserver  | [2026-03-10T17:27:31.528+0000] {override.py:1963} INFO - Added Permission can edit on My Profile to role User
airflow-webserver  | [2026-03-10T17:27:31.529+0000] {override.py:1963} INFO - Added Permission can read on SLA Misses to role User
airflow-webserver  | [2026-03-10T17:27:31.529+0000] {override.py:1963} INFO - Added Permission can read on Task Instances to role User
airflow-webserver  | [2026-03-10T17:27:31.531+0000] {override.py:1963} INFO - Added Permission can read on Task Logs to role User
airflow-webserver  | [2026-03-10T17:27:31.531+0000] {override.py:1963} INFO - Added Permission can read on XComs to role User
airflow-webserver  | [2026-03-10T17:27:31.532+0000] {override.py:1963} INFO - Added Permission can read on Website to role User
airflow-webserver  | [2026-03-10T17:27:31.533+0000] {override.py:1963} INFO - Added Permission menu access on Browse to role User
airflow-webserver  | [2026-03-10T17:27:31.533+0000] {override.py:1963} INFO - Added Permission menu access on DAGs to role User
airflow-webserver  | [2026-03-10T17:27:31.534+0000] {override.py:1963} INFO - Added Permission menu access on DAG Dependencies to role User
airflow-webserver  | [2026-03-10T17:27:31.535+0000] {override.py:1963} INFO - Added Permission menu access on DAG Runs to role User
airflow-webserver  | [2026-03-10T17:27:31.535+0000] {override.py:1963} INFO - Added Permission menu access on Datasets to role User
airflow-webserver  | [2026-03-10T17:27:31.536+0000] {override.py:1963} INFO - Added Permission menu access on Cluster Activity to role User
airflow-webserver  | [2026-03-10T17:27:31.536+0000] {override.py:1963} INFO - Added Permission menu access on Documentation to role User
airflow-webserver  | [2026-03-10T17:27:31.537+0000] {override.py:1963} INFO - Added Permission menu access on Docs to role User
airflow-webserver  | [2026-03-10T17:27:31.537+0000] {override.py:1963} INFO - Added Permission menu access on Jobs to role User
airflow-webserver  | [2026-03-10T17:27:31.538+0000] {override.py:1963} INFO - Added Permission menu access on SLA Misses to role User
airflow-webserver  | [2026-03-10T17:27:31.539+0000] {override.py:1963} INFO - Added Permission menu access on Task Instances to role User
airflow-webserver  | [2026-03-10T17:27:31.539+0000] {override.py:1963} INFO - Added Permission can edit on DAGs to role User
airflow-webserver  | [2026-03-10T17:27:31.540+0000] {override.py:1963} INFO - Added Permission can delete on DAGs to role User
airflow-webserver  | [2026-03-10T17:27:31.540+0000] {override.py:1963} INFO - Added Permission can create on Task Instances to role User
airflow-webserver  | [2026-03-10T17:27:31.541+0000] {override.py:1963} INFO - Added Permission can edit on Task Instances to role User
airflow-webserver  | [2026-03-10T17:27:31.542+0000] {override.py:1963} INFO - Added Permission can delete on Task Instances to role User
airflow-webserver  | [2026-03-10T17:27:31.542+0000] {override.py:1963} INFO - Added Permission can create on DAG Runs to role User
airflow-webserver  | [2026-03-10T17:27:31.543+0000] {override.py:1963} INFO - Added Permission can edit on DAG Runs to role User
airflow-webserver  | [2026-03-10T17:27:31.543+0000] {override.py:1963} INFO - Added Permission can delete on DAG Runs to role User
airflow-webserver  | [2026-03-10T17:27:31.545+0000] {override.py:1912} INFO - Created Permission View: can create on Datasets
airflow-webserver  | [2026-03-10T17:27:31.545+0000] {override.py:1963} INFO - Added Permission can create on Datasets to role User
airflow-webserver  | [2026-03-10T17:27:31.546+0000] {override.py:1508} INFO - Inserted Role: Op
airflow-webserver  | [2026-03-10T17:27:31.547+0000] {override.py:1963} INFO - Added Permission can read on DAGs to role Op
airflow-webserver  | [2026-03-10T17:27:31.548+0000] {override.py:1963} INFO - Added Permission can read on DAG Dependencies to role Op
airflow-webserver  | [2026-03-10T17:27:31.549+0000] {override.py:1963} INFO - Added Permission can read on DAG Code to role Op
airflow-webserver  | [2026-03-10T17:27:31.550+0000] {override.py:1963} INFO - Added Permission can read on DAG Runs to role Op
airflow-webserver  | [2026-03-10T17:27:31.551+0000] {override.py:1963} INFO - Added Permission can read on Datasets to role Op
airflow-webserver  | [2026-03-10T17:27:31.552+0000] {override.py:1963} INFO - Added Permission can read on Cluster Activity to role Op
airflow-webserver  | [2026-03-10T17:27:31.553+0000] {override.py:1963} INFO - Added Permission can read on Pools to role Op
airflow-webserver  | [2026-03-10T17:27:31.554+0000] {override.py:1963} INFO - Added Permission can read on ImportError to role Op
airflow-webserver  | [2026-03-10T17:27:31.555+0000] {override.py:1963} INFO - Added Permission can read on DAG Warnings to role Op
airflow-webserver  | [2026-03-10T17:27:31.555+0000] {override.py:1963} INFO - Added Permission can read on Jobs to role Op
airflow-webserver  | [2026-03-10T17:27:31.556+0000] {override.py:1963} INFO - Added Permission can read on My Password to role Op
airflow-webserver  | [2026-03-10T17:27:31.557+0000] {override.py:1963} INFO - Added Permission can edit on My Password to role Op
airflow-webserver  | [2026-03-10T17:27:31.557+0000] {override.py:1963} INFO - Added Permission can read on My Profile to role Op
airflow-webserver  | [2026-03-10T17:27:31.558+0000] {override.py:1963} INFO - Added Permission can edit on My Profile to role Op
airflow-webserver  | [2026-03-10T17:27:31.558+0000] {override.py:1963} INFO - Added Permission can read on SLA Misses to role Op
airflow-webserver  | [2026-03-10T17:27:31.559+0000] {override.py:1963} INFO - Added Permission can read on Task Instances to role Op
airflow-webserver  | [2026-03-10T17:27:31.560+0000] {override.py:1963} INFO - Added Permission can read on Task Logs to role Op
airflow-webserver  | [2026-03-10T17:27:31.560+0000] {override.py:1963} INFO - Added Permission can read on XComs to role Op
airflow-webserver  | [2026-03-10T17:27:31.562+0000] {override.py:1963} INFO - Added Permission can read on Website to role Op
airflow-webserver  | [2026-03-10T17:27:31.562+0000] {override.py:1963} INFO - Added Permission menu access on Browse to role Op
airflow-webserver  | [2026-03-10T17:27:31.563+0000] {override.py:1963} INFO - Added Permission menu access on DAGs to role Op
airflow-webserver  | [2026-03-10T17:27:31.563+0000] {override.py:1963} INFO - Added Permission menu access on DAG Dependencies to role Op
airflow-webserver  | [2026-03-10T17:27:31.564+0000] {override.py:1963} INFO - Added Permission menu access on DAG Runs to role Op
airflow-webserver  | [2026-03-10T17:27:31.564+0000] {override.py:1963} INFO - Added Permission menu access on Datasets to role Op
airflow-webserver  | [2026-03-10T17:27:31.565+0000] {override.py:1963} INFO - Added Permission menu access on Cluster Activity to role Op
airflow-webserver  | [2026-03-10T17:27:31.565+0000] {override.py:1963} INFO - Added Permission menu access on Documentation to role Op
airflow-webserver  | [2026-03-10T17:27:31.566+0000] {override.py:1963} INFO - Added Permission menu access on Docs to role Op
airflow-webserver  | [2026-03-10T17:27:31.567+0000] {override.py:1963} INFO - Added Permission menu access on Jobs to role Op
airflow-webserver  | [2026-03-10T17:27:31.567+0000] {override.py:1963} INFO - Added Permission menu access on SLA Misses to role Op
airflow-webserver  | [2026-03-10T17:27:31.568+0000] {override.py:1963} INFO - Added Permission menu access on Task Instances to role Op
airflow-webserver  | [2026-03-10T17:27:31.568+0000] {override.py:1963} INFO - Added Permission can edit on DAGs to role Op
airflow-webserver  | [2026-03-10T17:27:31.569+0000] {override.py:1963} INFO - Added Permission can delete on DAGs to role Op
airflow-webserver  | [2026-03-10T17:27:31.569+0000] {override.py:1963} INFO - Added Permission can create on Task Instances to role Op
airflow-webserver  | [2026-03-10T17:27:31.570+0000] {override.py:1963} INFO - Added Permission can edit on Task Instances to role Op
airflow-webserver  | [2026-03-10T17:27:31.570+0000] {override.py:1963} INFO - Added Permission can delete on Task Instances to role Op
airflow-webserver  | [2026-03-10T17:27:31.571+0000] {override.py:1963} INFO - Added Permission can create on DAG Runs to role Op
airflow-webserver  | [2026-03-10T17:27:31.572+0000] {override.py:1963} INFO - Added Permission can edit on DAG Runs to role Op
airflow-webserver  | [2026-03-10T17:27:31.572+0000] {override.py:1963} INFO - Added Permission can delete on DAG Runs to role Op
airflow-webserver  | [2026-03-10T17:27:31.573+0000] {override.py:1963} INFO - Added Permission can create on Datasets to role Op
airflow-webserver  | [2026-03-10T17:27:31.574+0000] {override.py:1963} INFO - Added Permission can read on Configurations to role Op
